accession,model,phage,metadata,host,taxonomic_level,host_reasoning,host_confidence,host_source,host_found,thermal_range,temperature,thermal_reasoning,thermal_confidence,thermal_found,summary_file,paper_dir,paper_dir_size,relevant_accession_papers,relevant_accession_dir_size,host_paper_dir,host_paper_dir_size,relevant_host_papers,relevant_host_dir_size,duration,decision,nodes,timings,JSONDecodeError
NP_040628,gemma4:e4b,Escherichia phage Lambda,"{""uid"": ""9626292"", ""accession"": ""NP_040628"", ""title"": ""LexA family transcriptional regulator [Escherichia phage Lambda]"", ""organism"": ""Escherichia phage Lambda"", ""taxonId"": 2681611, ""sequence_length"": 237, ""create_date"": ""1993/04/28"", ""update_date"": ""2023/01/11"", ""dbsource"": ""refseq"", ""extra"": ""gi|9626292|ref|NP_040628.1|"", ""host"": ""Escherichia coli"", ""old_name"": ""Bacteriophage lambda""}",Escherichia coli,species,The metadata explicitly states 'host': 'Escherichia coli'.,,metadata,True,mesophile,,"The first paper provides functional temperature data: optimal activity at 30 degrees C, and loss of function at 42 degrees C. Mesophiles are generally defined as organisms that thrive at moderate temperatures, typically between 20°C and 45°C. The observed optimal temperature of 30°C falls squarely within the typical mesophilic range. The second paper provides no thermal data. Since the most specific thermal evidence points to an optimum around 30°C, the classification leans towards mesophile.",,True,data/accessions/NP_040628/summary/summary.txt,data/accessions/NP_040628/library/accession_lit,18,['3156406.txt'],0,data/accessions/NP_040628/library/host_lit,10,['42104428.txt'],1,129.56,end,"[""CreateAccessionLibrary"", ""ClassifyHostMetadata"", ""CreateHostLibrary"", ""FilterRelevantLiterature"", ""FilterRelevantHostLiterature"", ""SUMMARISELITERATURE"", ""ClassifySummary""]","{""CreateAccessionLibrary"": 52.73, ""ClassifyHostMetadata"": 1.93, ""FilterRelevantLiterature"": 32.94, ""FilterRelevantHostLiterature"": 21.27, ""ClassifySummary"": 3.63}",False
NP_040587,gemma4:e4b,Escherichia phage Lambda,"{""uid"": ""9626251"", ""accession"": ""NP_040587"", ""title"": ""major capsid protein [Escherichia phage Lambda]"", ""organism"": ""Escherichia phage Lambda"", ""taxonId"": 2681611, ""sequence_length"": 341, ""create_date"": ""1993/04/28"", ""update_date"": ""2023/01/11"", ""dbsource"": ""refseq"", ""extra"": ""gi|9626251|ref|NP_040587.1|"", ""host"": ""Escherichia coli"", ""old_name"": ""Bacteriophage lambda""}",Escherichia coli,species,The metadata explicitly states the 'host' as 'Escherichia coli'.,,metadata,True,mesophile,,"The first paper provides optimal/functional temperatures around 30°C, with a loss of function at 42°C. Mesophiles are generally defined as organisms that thrive at moderate temperatures, typically between 20°C and 45°C. The observed optimal activity at 30°C falls squarely within the typical mesophilic range. The second paper provides no thermal data. Since the most specific thermal evidence points to optimal function at 30°C, the classification leans towards mesophile.",,True,data/accessions/NP_040587/summary/summary.txt,data/accessions/NP_040587/library/accession_lit,9,['3156406.txt'],0,data/accessions/NP_040587/library/host_lit,10,['42104428.txt'],1,85.53,end,"[""CreateAccessionLibrary"", ""ClassifyHostMetadata"", ""CreateHostLibrary"", ""FilterRelevantLiterature"", ""FilterRelevantHostLiterature"", ""SUMMARISELITERATURE"", ""ClassifySummary""]","{""CreateAccessionLibrary"": 24.58, ""ClassifyHostMetadata"": 1.98, ""FilterRelevantLiterature"": 17.07, ""FilterRelevantHostLiterature"": 21.27, ""ClassifySummary"": 3.56}",False
NP_042001,gemma4:e4b,Escherichia phage T7,"{""uid"": ""9627473"", ""accession"": ""NP_042001"", ""title"": ""internal virion protein [Escherichia phage T7]"", ""organism"": ""Escherichia phage T7"", ""taxonId"": 10760, ""sequence_length"": 138, ""create_date"": ""1982/11/03"", ""update_date"": ""2023/01/07"", ""dbsource"": ""refseq"", ""extra"": ""gi|9627473|ref|NP_042001.1|"", ""host"": ""Escherichia coli"", ""old_name"": ""Enterobacteria phage T7"", ""gb_acronym"": ""T7""}",Escherichia coli,species,The metadata explicitly contains the key 'host' with the value 'Escherichia coli'.,,metadata,True,mesophile,,forced,,True,data/accessions/NP_042001/summary/summary.txt,data/accessions/NP_042001/library/accession_lit,8,[],0,data/accessions/NP_042001/library/host_lit,10,['42104428.txt'],1,81.55999999999999,end,"[""CreateAccessionLibrary"", ""ClassifyHostMetadata"", ""CreateHostLibrary"", ""FilterRelevantLiterature"", ""FilterRelevantHostLiterature"", ""SUMMARISELITERATURE"", ""ClassifySummary"", ""ClassifyThermalForced""]","{""CreateAccessionLibrary"": 23.89, ""ClassifyHostMetadata"": 1.99, ""FilterRelevantLiterature"": 14.69, ""FilterRelevantHostLiterature"": 21.11, ""ClassifySummary"": 2.81, ""ClassifyThermalForced"": 4.19}",False
NP_042005,gemma4:e4b,Escherichia phage T7,"{""uid"": ""9627477"", ""accession"": ""NP_042005"", ""title"": ""tail fiber protein [Escherichia phage T7]"", ""organism"": ""Escherichia phage T7"", ""taxonId"": 10760, ""sequence_length"": 553, ""create_date"": ""1982/11/03"", ""update_date"": ""2023/01/07"", ""dbsource"": ""refseq"", ""extra"": ""gi|9627477|ref|NP_042005.1|"", ""host"": ""Escherichia coli"", ""old_name"": ""Enterobacteria phage T7"", ""gb_acronym"": ""T7""}",Escherichia coli,species,The metadata explicitly contains the key 'host' with the value 'Escherichia coli'.,,metadata,True,mesophile,,"The first paper explicitly states that the organisms were maintained under ""standard mesophilic laboratory conditions"" and shows an optimal growth temperature of 37 °C. The second paper also shows an optimal growth temperature of 37 °C and notes that the ""physiological characteristics align with a mesophilic organism."" The third paper provides insufficient data for classification. Since two out of three summaries point to an optimal growth temperature of 37 °C and explicitly mention mesophilic conditions, the overall classification is mesophile.",,True,data/accessions/NP_042005/summary/summary.txt,data/accessions/NP_042005/library/accession_lit,13,"['PMC12875140.1.txt', 'PMC12785254.1.txt']",0,data/accessions/NP_042005/library/host_lit,10,['42104428.txt'],1,366.68,end,"[""CreateAccessionLibrary"", ""ClassifyHostMetadata"", ""CreateHostLibrary"", ""FilterRelevantLiterature"", ""FilterRelevantHostLiterature"", ""SUMMARISELITERATURE"", ""ClassifySummary""]","{""CreateAccessionLibrary"": 23.36, ""ClassifyHostMetadata"": 2.02, ""FilterRelevantLiterature"": 212.74, ""FilterRelevantHostLiterature"": 21.45, ""ClassifySummary"": 4.02}",False
NP_041967,gemma4:e4b,Escherichia phage T7,"{""uid"": ""9627439"", ""accession"": ""NP_041967"", ""title"": ""nucleotide kinase [Escherichia phage T7]"", ""organism"": ""Escherichia phage T7"", ""taxonId"": 10760, ""sequence_length"": 196, ""create_date"": ""1982/11/03"", ""update_date"": ""2023/01/07"", ""dbsource"": ""refseq"", ""extra"": ""gi|9627439|ref|NP_041967.1|"", ""host"": ""Escherichia coli"", ""old_name"": ""Enterobacteria phage T7"", ""gb_acronym"": ""T7""}",Escherichia coli,species,The metadata explicitly contains the key 'host' with the value 'Escherichia coli'.,,metadata,True,mesophile,,forced,,True,data/accessions/NP_041967/summary/summary.txt,data/accessions/NP_041967/library/accession_lit,8,[],0,data/accessions/NP_041967/library/host_lit,10,['42104428.txt'],1,84.76,end,"[""CreateAccessionLibrary"", ""ClassifyHostMetadata"", ""CreateHostLibrary"", ""FilterRelevantLiterature"", ""FilterRelevantHostLiterature"", ""SUMMARISELITERATURE"", ""ClassifySummary"", ""ClassifyThermalForced""]","{""CreateAccessionLibrary"": 27.32, ""ClassifyHostMetadata"": 2.03, ""FilterRelevantLiterature"": 14.67, ""FilterRelevantHostLiterature"": 21.18, ""ClassifySummary"": 2.88, ""ClassifyThermalForced"": 3.86}",False
NP_049666,gemma4:e4b,Escherichia phage T4,"{""uid"": ""9632639"", ""accession"": ""NP_049666"", ""title"": ""DNA polymerase processivity factor [Escherichia phage T4]"", ""organism"": ""Escherichia phage T4"", ""taxonId"": 2681598, ""sequence_length"": 228, ""create_date"": ""1999/07/05"", ""update_date"": ""2023/01/11"", ""dbsource"": ""refseq"", ""extra"": ""gi|9632639|ref|NP_049666.1|"", ""host"": ""Escherichia coli"", ""old_name"": ""Bacteriophage T4""}",Escherichia coli,species,The metadata explicitly states 'host': 'Escherichia coli'.,,metadata,True,mesophile,,forced,,True,data/accessions/NP_049666/summary/summary.txt,data/accessions/NP_049666/library/accession_lit,0,[],0,data/accessions/NP_049666/library/host_lit,10,['42104428.txt'],1,51.65,end,"[""CreateAccessionLibrary"", ""ClassifyHostMetadata"", ""CreateHostLibrary"", ""FilterRelevantLiterature"", ""FilterRelevantHostLiterature"", ""SUMMARISELITERATURE"", ""ClassifySummary"", ""ClassifyThermalForced""]","{""CreateAccessionLibrary"": 9.39, ""ClassifyHostMetadata"": 1.92, ""FilterRelevantLiterature"": 0.0, ""FilterRelevantHostLiterature"": 21.31, ""ClassifySummary"": 2.63, ""ClassifyThermalForced"": 3.81}",False
YP_010085862,gemma4:e4b,Orthopoxvirus Abatino,"{""uid"": ""2047106650"", ""accession"": ""YP_010085862"", ""title"": ""putative B17L protein [Orthopoxvirus Abatino]"", ""organism"": ""Orthopoxvirus Abatino"", ""taxonId"": 2478919, ""sequence_length"": 340, ""create_date"": ""2021/06/01"", ""update_date"": ""2023/01/10"", ""dbsource"": ""refseq"", ""extra"": ""gi|2047106650|ref|YP_010085862.1|"", ""isolate"": ""Abatino"", ""host"": ""Macaca tonkeana"", ""country"": ""Italy"", ""collection_date"": ""2015""}",Macaca tonkeana,species,The metadata explicitly contains the key 'host' with the value 'Macaca tonkeana'.,,metadata,True,mesophile,,forced,,True,data/accessions/YP_010085862/summary/summary.txt,data/accessions/YP_010085862/library/accession_lit,1,['PMC6212904.1.txt'],0,data/accessions/YP_010085862/library/host_lit,5,"['PMC10804609.1.txt', 'PMC12819564.1.txt', 'PMC11650955.1.txt']",3,316.12,end,"[""CreateAccessionLibrary"", ""ClassifyHostMetadata"", ""CreateHostLibrary"", ""FilterRelevantLiterature"", ""FilterRelevantHostLiterature"", ""SUMMARISELITERATURE"", ""ClassifySummary"", ""ClassifyThermalForced""]","{""CreateAccessionLibrary"": 7.0, ""ClassifyHostMetadata"": 2.09, ""FilterRelevantLiterature"": 21.61, ""FilterRelevantHostLiterature"": 128.64, ""ClassifySummary"": 4.6, ""ClassifyThermalForced"": 4.47}",False
YP_009168084,gemma4:e4b,Escherichia phage AR1,"{""uid"": ""937533110"", ""accession"": ""YP_009168084"", ""title"": ""Ndd-like nucleoid disruption protein [Escherichia phage AR1]"", ""organism"": ""Escherichia phage AR1"", ""taxonId"": 66711, ""sequence_length"": 147, ""create_date"": ""2015/10/08"", ""update_date"": ""2023/01/07"", ""dbsource"": ""refseq"", ""extra"": ""gi|937533110|ref|YP_009168084.1|"", ""strain"": ""AR1"", ""host"": ""Escherichia coli O157:H7"", ""old_name"": ""Enterobacteria phage AR1"", ""note"": ""T4-like phage""}",Escherichia coli O157:H7,strain,The metadata explicitly states the host as 'Escherichia coli O157:H7' under the 'host' key.,,metadata,True,mesophile,,"The analysis of the four papers shows a pattern of optimal or utilized growth temperatures centered around 25°C to 37°C. 

1. **PMC8809338.1.txt:** Optimal growth is 37°C, but stability/application testing includes 25°C and 4°C. The overall profile is broad but includes mesophilic ranges.
2. **11808783.txt:** Optimal growth is explicitly stated as 35°C, which is characteristic of mesophiles.
3. **42102705.txt:** Incubation was performed at 37°C, a classic mesophilic temperature, and the source is raw meat.
4. **PMC13139102.1.txt:** Biofilm formation occurred at 25°C, and contamination was simulated at 10°C, both within the mesophilic range. 

Since three out of four papers explicitly use or center on temperatures (35°C, 37°C, 25°C) that define mesophilic growth, and no evidence points consistently toward temperatures below 15°C (psychrophile) or above 55°C (thermophile), the majority evidence points to a mesophilic classification.",,True,data/accessions/YP_009168084/summary/summary.txt,data/accessions/YP_009168084/library/accession_lit,4,"['PMC8809338.1.txt', '11808783.txt']",0,data/accessions/YP_009168084/library/host_lit,7,"['42102705.txt', 'PMC13139102.1.txt']",2,236.85,end,"[""CreateAccessionLibrary"", ""ClassifyHostMetadata"", ""CreateHostLibrary"", ""FilterRelevantLiterature"", ""FilterRelevantHostLiterature"", ""SUMMARISELITERATURE"", ""ClassifySummary""]","{""CreateAccessionLibrary"": 23.45, ""ClassifyHostMetadata"": 2.26, ""FilterRelevantLiterature"": 49.12, ""FilterRelevantHostLiterature"": 49.31, ""ClassifySummary"": 7.77}",False
YP_001956832,gemma4:e4b,Pseudomonas phage 201phi2-1,"{""uid"": ""189490266"", ""accession"": ""YP_001956832"", ""title"": ""hypothetical protein ST201phi2-1p108 [Pseudomonas phage 201phi2-1]"", ""organism"": ""Pseudomonas phage 201phi2-1"", ""taxonId"": 198110, ""sequence_length"": 142, ""create_date"": ""2008/06/06"", ""update_date"": ""2023/01/08"", ""dbsource"": ""refseq"", ""extra"": ""gi|189490266|ref|YP_001956832.1|"", ""host"": ""Pseudomonas chlororaphis"", ""old_name"": ""Pseudomonas chlororaphis phage 201phi2-1""}",Pseudomonas chlororaphis,species,The metadata explicitly states 'host': 'Pseudomonas chlororaphis'.,,metadata,True,mesophile,,"The evidence points towards mesophilic conditions based on the reported incubation and optimal growth temperatures. 
1. Paper PMC13027295.1.txt specifies an 'Optimal growth temperature: 30 °C' and 'Incubation conditions: 30 °C'. 30°C is a classic mesophilic temperature.
2. Paper PMC13151666.1.txt mentions 'Incubation at room temperature (RT) was used for initial growth (48 hours)' and 'subsequent growth was tested at RT for 72 hours'. Room temperature (typically 20-25°C) falls within the mesophilic range.
3. Paper PMC13106765.1.txt utilized 'isothermal microcalorimetry (IMC) assays were performed at a thermal equilibrium of 25°C'. 25°C is also within the mesophilic range.

While no single paper explicitly states 'mesophile,' the consistent use of 25°C, 30°C, and RT (20-25°C) for growth and metabolic assays strongly suggests that the organisms studied are adapted to moderate, mesophilic temperatures, rather than the low temperatures of psychrophiles or the high temperatures of thermophiles.",,True,data/accessions/YP_001956832/summary/summary.txt,data/accessions/YP_001956832/library/accession_lit,1,[],0,data/accessions/YP_001956832/library/host_lit,6,"['PMC13151666.1.txt', 'PMC13027295.1.txt', 'PMC13106765.1.txt', 'PMC13118963.1.txt']",4,290.61,end,"[""CreateAccessionLibrary"", ""ClassifyHostMetadata"", ""CreateHostLibrary"", ""FilterRelevantLiterature"", ""FilterRelevantHostLiterature"", ""SUMMARISELITERATURE"", ""ClassifySummary""]","{""CreateAccessionLibrary"": 9.65, ""ClassifyHostMetadata"": 2.09, ""FilterRelevantLiterature"": 2.03, ""FilterRelevantHostLiterature"": 127.5, ""ClassifySummary"": 7.11}",False
YP_001956835,gemma4:e4b,Pseudomonas phage 201phi2-1,"{""uid"": ""189490269"", ""accession"": ""YP_001956835"", ""title"": ""hypothetical protein ST201phi2-1p111 [Pseudomonas phage 201phi2-1]"", ""organism"": ""Pseudomonas phage 201phi2-1"", ""taxonId"": 198110, ""sequence_length"": 67, ""create_date"": ""2008/06/06"", ""update_date"": ""2023/01/08"", ""dbsource"": ""refseq"", ""extra"": ""gi|189490269|ref|YP_001956835.1|"", ""host"": ""Pseudomonas chlororaphis"", ""old_name"": ""Pseudomonas chlororaphis phage 201phi2-1""}",Pseudomonas chlororaphis,species,The metadata explicitly states 'host': 'Pseudomonas chlororaphis'.,,metadata,True,mesophile,,"The evidence points towards mesophilic conditions based on the reported incubation and optimal growth temperatures. 
1. Paper PMC13027295.1.txt specifies an 'Optimal growth temperature: 30 °C' and 'Incubation conditions: 30 °C'. 30°C is a classic mesophilic temperature.
2. Paper PMC13151666.1.txt mentions 'Incubation at room temperature (RT) was used for initial growth (48 hours)' and 'subsequent growth was tested at RT for 72 hours'. Room temperature (typically 20-25°C) falls within the mesophilic range.
3. Paper PMC13106765.1.txt utilized 'isothermal microcalorimetry (IMC) assays were performed at a thermal equilibrium of 25°C'. 25°C is also within the mesophilic range.

While no single paper explicitly states 'mesophile,' the consistent use of 25°C, 30°C, and RT (20-25°C) for growth and metabolic assays strongly suggests that the organisms studied are adapted to moderate, mesophilic temperatures, rather than the low temperatures of psychrophiles or the high temperatures of thermophiles.",,True,data/accessions/YP_001956835/summary/summary.txt,data/accessions/YP_001956835/library/accession_lit,1,[],0,data/accessions/YP_001956835/library/host_lit,6,"['PMC13151666.1.txt', 'PMC13027295.1.txt', 'PMC13106765.1.txt', 'PMC13118963.1.txt']",4,293.86,end,"[""CreateAccessionLibrary"", ""ClassifyHostMetadata"", ""CreateHostLibrary"", ""FilterRelevantLiterature"", ""FilterRelevantHostLiterature"", ""SUMMARISELITERATURE"", ""ClassifySummary""]","{""CreateAccessionLibrary"": 8.7, ""ClassifyHostMetadata"": 2.15, ""FilterRelevantLiterature"": 2.09, ""FilterRelevantHostLiterature"": 127.87, ""ClassifySummary"": 7.27}",False
A7XXB7,gemma4:e4b,Thermus phage P23-45,"{""uid"": ""1679373715"", ""accession"": ""A7XXB7"", ""title"": ""RecName: Full=Terminase, large subunit; AltName: Full=DNA-packaging protein; AltName: Full=Gene product 85; Short=gp85; Includes: RecName: Full=ATPase; Includes: RecName: Full=Endonuclease"", ""organism"": ""Thermus phage P23-45"", ""taxonId"": 2914006, ""sequence_length"": 485, ""create_date"": ""2019/05/08"", ""update_date"": ""2026/01/28"", ""dbsource"": ""swiss_prot"", ""extra"": ""gi|1679373715|sp|A7XXB7.1|TERL_BP234"", ""host"": ""Thermus thermophilus""}",Thermus thermophilus,species,The metadata explicitly contains the key 'host' with the value 'Thermus thermophilus'.,,metadata,True,thermophile,,"The majority of the papers (PMC6397560.1.txt, 42104995.txt, PMC13140390.1.txt, PMC13039148.1.txt, 42112277.txt, PMC13150438.1.txt, PMC12980113.1.txt, 41906752.txt) explicitly mention or strongly imply that the source organism or the system being studied is thermophilic. Specific evidence includes: 
- PMC6397560.1.txt: 'The associated host bacterium, *Thermus thermophilus*, confirms the thermophilic nature of the system.'
- PMC13140390.1.txt: 'The organism is a thermophilic bacterium, with a reported growth temperature range of 55°C to 80°C, and was cultured optimally at 65°C.'
- PMC13039148.1.txt: 'The organism is a thermophilic bacterium with an optimal growth and incubation temperature of 68°C.'
- PMC13150438.1.txt: 'The enzyme studied is derived from *Thermus thermophilus*, indicating a thermophilic origin.'
- PMC12980113.1.txt: 'The sensor utilizes a glucose-binding protein sourced from a thermophile... The use of a thermophilic protein backbone suggests inherent thermal robustness.'
Although some papers (PMC13150438.1.txt, PMC12980113.1.txt) describe experiments run at lower temperatures (e.g., 22°C, 37°C), the *source* of the enzyme/protein is consistently identified as thermophilic, making 'thermophile' the dominant classification.",,True,data/accessions/A7XXB7/summary/summary.txt,data/accessions/A7XXB7/library/accession_lit,1,['PMC6397560.1.txt'],0,data/accessions/A7XXB7/library/host_lit,8,"['42104995.txt', 'PMC13140390.1.txt', '42112277.txt', 'PMC13039148.1.txt', 'PMC13150438.1.txt', 'PMC12980113.1.txt', '41906752.txt', '41935501.txt']",8,406.2799999999999,end,"[""CreateAccessionLibrary"", ""ClassifyHostMetadata"", ""CreateHostLibrary"", ""FilterRelevantLiterature"", ""FilterRelevantHostLiterature"", ""SUMMARISELITERATURE"", ""ClassifySummary""]","{""CreateAccessionLibrary"": 12.42, ""ClassifyHostMetadata"": 2.18, ""FilterRelevantLiterature"": 23.53, ""FilterRelevantHostLiterature"": 148.38, ""ClassifySummary"": 11.84}",False
QAY18187,gemma4:e4b,Thermus phage TSP4,"{""uid"": ""1565796668"", ""accession"": ""QAY18187"", ""title"": ""metal-dependent hydrolase [Thermus phage TSP4]"", ""organism"": ""Thermus phage TSP4"", ""taxonId"": 1298530, ""sequence_length"": 287, ""create_date"": ""2019/02/06"", ""update_date"": ""2019/02/06"", ""dbsource"": ""insd"", ""extra"": ""gi|1565796668|gb|QAY18187.1|"", ""host"": ""Thermus sp. TC4"", ""country"": ""China"", ""collection_date"": ""01-Jan-2008""}",Thermus sp. TC4,strain,The metadata explicitly states 'host': 'Thermus sp. TC4'.,,metadata,True,thermophile,,"The evidence across all four papers strongly points towards thermophilic adaptation. 
1. **Paper 32442498.txt:** States the lysin is 'thermostable' and originates from an 'extremophilic phage'.
2. **Paper 20806260.txt:** Notes the phage was 'isolated from hot springs' and showed 'high stability at 65 °C', suggesting 'thermophilic adaptation'.
3. **Paper PMC7077265.1.txt:** Provides a host growth range of '40–80 °C' and explicitly states the phage is derived from a 'thermophilic organism'.
4. **Paper PMC9629493.1.txt:** Notes the enzyme has 'optimal polymerase activity around 70°C' and is classified as belonging to a group of 'thermophilic bacteriophages', originating from 'coastal hot springs'.

While one paper mentions testing at 37°C (mesophilic), the overwhelming evidence from source environment (hot springs), optimal activity temperatures (65°C, 70°C), and explicit classification points to thermophily.",,True,data/accessions/QAY18187/summary/summary.txt,data/accessions/QAY18187/library/accession_lit,5,"['32442498.txt', '20806260.txt', 'PMC7077265.1.txt', 'PMC9629493.1.txt']",0,data/accessions/QAY18187/library/host_lit,0,[],0,189.22,end,"[""CreateAccessionLibrary"", ""ClassifyHostMetadata"", ""CreateHostLibrary"", ""FilterRelevantLiterature"", ""FilterRelevantHostLiterature"", ""SUMMARISELITERATURE"", ""ClassifySummary""]","{""CreateAccessionLibrary"": 25.72, ""ClassifyHostMetadata"": 2.06, ""FilterRelevantLiterature"": 72.51, ""FilterRelevantHostLiterature"": 0.0, ""ClassifySummary"": 7.1}",False
YP_001285867,gemma4:e4b,Geobacillus virus E2,"{""uid"": ""148747787"", ""accession"": ""YP_001285867"", ""title"": ""ATPase [Geobacillus virus E2]"", ""organism"": ""Geobacillus virus E2"", ""taxonId"": 447909, ""sequence_length"": 49, ""create_date"": ""2007/06/11"", ""update_date"": ""2023/01/08"", ""dbsource"": ""refseq"", ""extra"": ""gi|148747787|ref|YP_001285867.1|"", ""host"": ""Geobacillus"", ""country"": ""China"", ""isolation_source"": ""deep-sea hydrothermal field""}",Geobacillus,genus,The metadata explicitly contains the key 'host' with the value 'Geobacillus'.,,metadata,True,thermophile,,"The majority of the papers (PMC13130090.1.txt, PMC13135583.1.txt, 41990964.txt) explicitly state or demonstrate thermophilic characteristics. 

1. **PMC13130090.1.txt:** States the organism is a ""thermophilic Gram-positive bacterium"" with an optimal growth temperature of ""60 °C"" and a range up to ""74 °C"".
2. **PMC13135583.1.txt:** Explicitly identifies the organism as a ""thermophile"" with optimal growth conditions at ""60 °C"" and discusses processes requiring ""elevated temperatures ($70-80^	ext{o} 	ext{C}$)"".
3. **41990964.txt:** Notes that the ""Source organism is identified as a thermophilic bacterium"" and the enzyme has an ""optimum activity temperature of 70 °C"".

Only one paper (PMC13137057.1.txt) provides no thermal data, and the other paper (18573317.txt) describes a ""deep-sea thermophilic bacteriophage."" Therefore, the overwhelming evidence points to thermophily.",,True,data/accessions/YP_001285867/summary/summary.txt,data/accessions/YP_001285867/library/accession_lit,1,['18573317.txt'],0,data/accessions/YP_001285867/library/host_lit,5,"['PMC13130090.1.txt', 'PMC13137057.1.txt', 'PMC13135583.1.txt', '41990964.txt']",4,371.94,end,"[""CreateAccessionLibrary"", ""ClassifyHostMetadata"", ""CreateHostLibrary"", ""FilterRelevantLiterature"", ""FilterRelevantHostLiterature"", ""SUMMARISELITERATURE"", ""ClassifySummary""]","{""CreateAccessionLibrary"": 4.86, ""ClassifyHostMetadata"": 2.03, ""FilterRelevantLiterature"": 3.17, ""FilterRelevantHostLiterature"": 187.34, ""ClassifySummary"": 8.19}",False
NP_835731,gemma4:e4b,Rhodothermus phage RM378,"{""uid"": ""30044134"", ""accession"": ""NP_835731"", ""title"": ""RNA polymerase sigma factor [Rhodothermus phage RM378]"", ""organism"": ""Rhodothermus phage RM378"", ""taxonId"": 148943, ""sequence_length"": 199, ""create_date"": ""2003/04/22"", ""update_date"": ""2023/01/08"", ""dbsource"": ""refseq"", ""extra"": ""gi|30044134|gnl|REF_NCBI_MICRO|phiN315_144|ref|NP_835731.1|"", ""host"": ""Rhodothermus marinus"", ""old_name"": ""Bacteriophage RM 378""}",Rhodothermus marinus,species,The metadata explicitly contains the key 'host' with the value 'Rhodothermus marinus'.,,metadata,True,thermophile,,"The majority of the papers explicitly state that the source organism or the enzyme itself is 'thermophilic'.

1. **Paper 15579472.txt:** States the source organism is a 'thermophilic eubacterium' and the enzyme retains activity at 'elevated temperatures'.
2. **Paper 24318108.txt:** States the phage was 'isolated from a thermophilic bacterium' and shows stability up to 65 °C, with loss of viability at higher temperatures.
3. **Paper 41406621.txt:** Mentions an enzyme from a 'thermophilic source' and that the enzyme exhibits 'thermophilic adaptation'.
4. **Paper 39970754.txt:** While not explicitly naming the organism as thermophilic, it focuses on 'significant thermostability' and 'elevated temperatures' in the context of enzyme function, aligning with thermophilic characteristics, although the source context is weak.",,True,data/accessions/NP_835731/summary/summary.txt,data/accessions/NP_835731/library/accession_lit,2,"['15579472.txt', '24318108.txt']",0,data/accessions/NP_835731/library/host_lit,5,"['41406621.txt', '39970754.txt']",2,53.260000000000005,end,"[""CreateAccessionLibrary"", ""ClassifyHostMetadata"", ""CreateHostLibrary"", ""FilterRelevantLiterature"", ""FilterRelevantHostLiterature"", ""SUMMARISELITERATURE"", ""ClassifySummary""]","{""CreateAccessionLibrary"": 10.17, ""ClassifyHostMetadata"": 2.16, ""FilterRelevantLiterature"": 4.35, ""FilterRelevantHostLiterature"": 9.06, ""ClassifySummary"": 5.68}",False
YP_874174,gemma4:e4b,Thermus phage phiYS40,"{""uid"": ""118197781"", ""accession"": ""YP_874174"", ""title"": ""Fe-S oxidoreductase [Thermus phage phiYS40]"", ""organism"": ""Thermus phage phiYS40"", ""taxonId"": 407392, ""sequence_length"": 355, ""create_date"": ""2006/11/21"", ""update_date"": ""2023/01/08"", ""dbsource"": ""refseq"", ""extra"": ""gi|118197781|ref|YP_874174.1|"", ""old_name"": ""Thermus thermophilus phage YS40""}",T. thermophilus,species,"The text states, ""The presented study has characterized an A-family DNA polymerase of phage vB_Tt72 (Tt72 pol) of the thermophilic eubacterium Thermus thermophilus."" Additionally, the section '4.2. Bacterial Strains, Plasmids, and Phage' mentions, ""The vB_Tt72 phage and the host strain, T. thermophilus MAT72, were isolated from the hot spring in the Badstofuhver area in Hveragerdi, Iceland.""",,literature,True,thermophile,,"The majority of the provided papers (PMC9324360.1, 40580998, PMC13140390.1, PMC13039148.1, 41906752, 42007705, PMC12956332.1) explicitly state or strongly imply that the source organisms or enzymes are derived from thermophilic or hyperthermophilic sources. Specific evidence includes: 
- PMC9324360.1: Source from a hot spring and authors classify it as derived from thermophiles.
- 40580998: Source organism is from an extremophilic source, and the enzyme targets *Thermus*.
- PMC13140390.1: Optimal growth temperature is 65°C, and the organism is characterized as thermophilic.
- PMC13039148.1: Explicitly states the organism is a thermophilic bacterium, with growth at 68°C.
- 41906752: Enzyme source is derived from a hyperthermophilic organism.
- 42007705: Optimal growth temperature is 45°C, and it is isolated from self-heating compost, leading to classification as a thermophile.
- PMC12956332.1: One organism is noted as a model organism for studying thermophilic bacteria.

While some papers mention mesophilic components (e.g., *E. coli* in PMC12980113.1 or PMC12956332.1), the overall trend and the most robust evidence point towards thermophilic adaptation.",,True,data/accessions/YP_874174/summary/summary.txt,data/accessions/YP_874174/library/accession_lit,5,"['19891975.txt', 'PMC9324360.1.txt', '40580998.txt']",0,data/accessions/YP_874174/library/host_lit,9,"['PMC13049647.1.txt', 'PMC13140390.1.txt', 'PMC13039148.1.txt', 'PMC12980113.1.txt', '41906752.txt', '41935501.txt', 'PMC12956332.1.txt', '42007705.txt']",8,700.51,end,"[""CreateAccessionLibrary"", ""ClassifyHostMetadata"", ""ClassifyHostLiterature"", ""CreateHostLibrary"", ""FilterRelevantLiterature"", ""FilterRelevantHostLiterature"", ""SUMMARISELITERATURE"", ""ClassifySummary""]","{""CreateAccessionLibrary"": 8.38, ""ClassifyHostMetadata"": 2.43, ""ClassifyHostLiterature"": 61.54, ""FilterRelevantLiterature"": 71.24, ""FilterRelevantHostLiterature"": 228.33, ""ClassifySummary"": 12.73}",False
